radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820140419,7,11,0,0,0,0,0,0,18,0
820140420,1,5,0,0,0,0,0,0,6,0
820140501,1,0,0,0,0,0,0,0,1,0
820140502,5,2,1,0,0,0,0,0,8,0
820140503,6,14,1,0,0,0,0,0,21,0
820140504,9,10,0,0,0,0,0,0,19,0
820140505,3,7,0,0,0,0,0,0,10,0
820140506,2,7,0,0,0,0,0,0,9,0
820140507,0,6,0,0,0,0,0,0,6,0
820140508,2,2,0,0,0,0,0,0,4,0
820140509,5,6,0,0,0,0,0,0,11,0
820140510,0,4,0,0,0,0,0,0,4,0
820140511,5,7,0,0,0,0,0,0,12,0
820140512,0,1,0,0,0,0,0,0,1,0
820140513,0,26,0,0,0,0,0,0,26,0
820140514,2,21,0,0,0,0,0,0,23,0
820140515,11,3,0,0,0,0,0,0,14,0
820140516,0,3,0,0,0,0,0,0,3,0
820140517,6,44,0,0,0,0,0,3,53,0
820140518,3,12,0,0,0,0,0,0,15,0
820140519,3,10,0,0,0,0,0,1,14,0
820140520,1,0,0,0,0,0,0,0,1,0
820140521,0,0,0,0,0,0,0,0,0,0
820140522,1,1,0,0,0,0,0,0,2,0
820140523,14,19,1,0,0,0,0,0,35,1
820140524,0,8,0,0,0,0,0,1,9,0
820140601,17,204,16,2,0,0,0,15,254,0
820140602,10,33,0,0,0,0,0,1,44,0
820140603,1,1,0,0,0,3,0,0,5,0
820140604,6,9,0,0,0,0,0,0,15,0
820140605,20,45,2,0,0,0,0,2,69,0
820140606,4,10,1,0,0,0,0,3,18,0
820140607,11,5,0,0,0,0,0,0,16,0
820140608,7,14,0,0,0,0,0,0,21,0
820140609,4,52,5,0,0,0,1,8,70,0
820140610,0,1,0,0,0,0,0,0,1,0
820140611,10,0,0,0,0,0,0,0,10,0
820149001,0,0,0,0,0,0,0,0,0,0
820210101,1,9,0,0,0,0,0,0,10,0
820210102,1,4,0,0,0,0,0,0,5,0
820210103,6,72,0,0,0,0,0,4,82,0
820210104,5,49,0,0,0,0,0,0,54,0
820210105,12,18,0,0,0,0,0,1,31,0
820210106,2,13,0,0,0,0,0,1,16,0
820210107,3,15,0,0,0,0,0,0,18,0
820210108,5,23,0,0,0,0,0,0,28,0
820210109,4,1,0,0,0,0,0,0,5,0
820210110,11,55,0,0,0,0,1,2,69,0
820210111,6,12,0,0,0,0,0,1,19,0
820210112,13,33,0,0,0,0,0,0,46,0
820210113,2,3,0,0,0,0,0,0,5,0
820210114,4,21,0,0,0,0,1,0,26,0
820210115,8,36,0,0,0,0,0,1,45,0
820210116,17,28,0,0,0,0,0,0,45,0
820210117,2,23,0,0,0,0,0,0,25,0
820210118,2,34,0,0,0,0,0,0,36,0
820210119,5,95,0,0,0,0,1,1,102,0
820210120,12,26,0,0,3,0,0,0,41,0
820210121,8,24,1,0,0,0,0,0,33,0
820210122,3,31,0,0,0,0,0,0,34,0
820210123,1,17,0,0,0,0,0,0,18,0
820210124,8,52,0,1,1,0,4,1,67,0
820210125,0,12,6,0,0,0,0,1,19,0
820210126,7,15,0,0,0,0,0,0,22,0
820210127,2,3,0,0,0,0,0,0,5,0
820210128,16,22,0,0,0,0,0,0,38,0
820210129,9,11,0,0,0,0,0,0,20,0
820210130,10,22,0,0,0,0,1,0,33,0
820210131,1,14,0,0,0,0,0,0,15,0
820210132,2,22,0,0,1,0,0,3,28,0
820210133,24,60,0,0,0,0,0,0,84,0
820210134,11,94,6,0,1,0,0,2,114,0
820210201,5,35,0,0,0,0,0,0,40,0
820210202,10,7,0,0,0,0,0,0,17,0
820210203,8,9,0,0,0,0,0,0,17,0
820210204,7,8,0,0,0,0,0,0,15,0
820210205,8,106,6,0,1,0,4,1,126,0
820210206,9,11,0,0,0,0,0,0,20,0
820210207,10,37,0,0,0,0,4,1,52,0
820210208,3,1,0,0,0,0,0,0,4,0
820210209,16,23,0,0,0,0,0,0,39,0
820210210,12,23,1,2,0,0,1,0,39,0
820210211,24,20,1,0,0,0,0,0,45,0
820210212,10,79,0,0,0,0,0,1,90,0
820210213,1,6,0,0,0,0,0,0,7,0
820210214,15,29,0,0,0,0,7,0,51,0
820210215,11,54,0,0,0,0,0,0,65,0
820210216,7,16,0,0,0,0,0,0,23,0
820210217,19,31,0,0,0,0,0,0,50,0
820210218,27,62,0,0,0,0,0,0,89,0
820210301,1,5,0,0,0,0,0,0,6,0
820210302,33,48,0,0,1,0,0,2,84,0
820210303,7,34,0,0,0,0,0,0,41,0
820210304,3,27,0,0,1,0,0,0,31,0
820210305,21,51,0,0,3,0,0,1,76,0
820210306,3,24,0,0,0,0,0,0,27,0
820210307,0,16,0,0,0,0,0,0,16,0
820210308,2,15,0,0,0,0,0,0,17,0
820210309,1,3,0,0,0,0,0,0,4,0
820210310,9,38,0,0,0,0,0,0,47,0
820210311,6,23,0,4,0,0,0,0,33,0
820210312,0,10,0,0,0,0,0,0,10,0
820210313,3,38,0,0,0,0,0,0,41,0
820210314,5,15,1,0,0,0,0,0,21,0
820210315,1,6,0,0,1,0,0,0,8,0
820210316,0,19,0,0,0,0,0,0,19,0
820210317,8,29,0,0,0,0,0,1,38,0
820210318,19,56,0,0,0,0,0,0,75,0
820210319,1,7,0,0,0,0,0,0,8,0
820210320,3,10,0,0,0,0,0,0,14,1
820210321,12,22,0,0,0,0,0,0,34,0
820210322,14,13,0,0,0,0,1,1,29,0
820210323,10,11,0,0,0,0,0,0,21,0
820210324,3,14,0,0,0,0,0,0,17,0
820210325,0,8,1,0,0,0,0,0,9,0
820210326,3,13,1,0,0,0,0,0,17,0
820210327,17,26,1,0,0,0,1,1,46,0
820210328,5,13,0,0,0,0,0,1,19,0
