radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820140419,0,10,0,0,0,0,0,0,10,0
820140420,1,5,0,0,0,0,0,0,6,0
820140501,1,0,0,0,0,0,0,0,1,0
820140502,4,3,1,0,0,0,0,0,8,0
820140503,1,15,1,0,0,0,0,0,17,0
820140504,8,10,0,0,0,0,0,0,18,0
820140505,3,7,0,0,0,0,0,1,11,0
820140506,2,7,0,0,0,0,0,0,9,0
820140507,0,6,0,0,0,0,0,1,7,0
820140508,0,2,0,0,0,0,0,0,2,0
820140509,0,6,0,0,0,0,0,0,6,0
820140510,0,4,0,0,0,0,0,1,5,0
820140511,3,13,0,0,0,0,0,0,16,0
820140512,0,1,0,0,0,0,0,0,1,0
820140513,0,29,0,0,0,0,0,0,29,0
820140514,0,25,0,0,0,0,0,0,25,0
820140515,9,3,0,0,0,0,0,0,12,0
820140516,0,3,0,0,0,0,0,0,3,0
820140517,4,44,0,0,0,0,0,3,51,0
820140518,2,12,0,0,0,0,0,0,14,0
820140519,2,10,0,0,0,0,1,1,14,0
820140520,1,0,0,0,0,0,0,0,1,0
820140521,0,0,0,0,0,0,0,0,0,0
820140522,1,2,0,0,0,0,0,0,3,0
820140523,10,22,1,0,0,0,0,0,35,2
820140524,0,7,0,0,0,0,0,1,8,0
820140601,8,221,21,0,0,0,0,30,280,0
820140602,0,35,0,0,0,0,0,1,36,0
820140603,0,1,0,0,0,0,0,0,1,0
820140604,1,8,0,0,0,0,0,0,9,0
820140605,2,51,2,0,0,0,0,2,57,0
820140606,2,9,1,0,0,0,0,3,15,0
820140607,0,5,0,0,0,0,0,0,5,0
820140608,0,16,0,0,0,0,0,0,16,0
820140609,0,57,4,0,0,0,0,10,71,0
820140610,0,1,0,0,0,0,0,0,1,0
820140611,10,0,0,0,0,0,0,0,10,0
820149001,0,0,0,0,0,0,0,0,0,0
820210101,0,8,0,0,0,0,0,0,8,0
820210102,0,4,0,0,0,0,0,0,4,0
820210103,1,70,0,0,0,0,0,8,79,0
820210104,1,49,0,0,0,0,0,0,50,0
820210105,1,16,0,0,0,0,0,1,18,0
820210106,0,14,0,0,0,0,0,1,15,0
820210107,1,15,0,0,0,0,0,0,16,0
820210108,1,20,0,0,0,0,0,0,21,0
820210109,0,1,0,0,0,0,0,0,1,0
820210110,4,56,0,0,0,0,1,2,63,0
820210111,1,12,0,0,0,0,0,1,14,0
820210112,9,35,0,0,0,0,0,0,44,0
820210113,0,3,0,0,0,0,0,0,3,0
820210114,2,21,0,0,0,0,0,0,23,0
820210115,2,37,0,0,0,0,0,1,40,0
820210116,9,27,0,0,0,0,0,0,36,0
820210117,0,23,0,0,0,0,0,0,23,0
820210118,0,36,0,0,0,0,0,0,36,0
820210119,3,95,0,0,0,0,1,1,100,0
