radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,NSA :,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820140410,265,18,1,0,0,3,0,0,1,285,0
820140411,311,6,0,8,0,0,0,2,0,327,0
820140412,326,7,0,0,0,0,0,1,6,340,0
820140413,17,1,0,0,0,0,0,0,1,19,0
820140414,4,0,0,0,0,0,0,0,0,5,1
820140415,86,4,3,0,0,0,0,1,3,97,0
820140416,75,24,0,0,0,0,0,0,2,101,0
820140417,47,7,0,0,1,1,0,0,1,56,0
820140418,70,10,0,0,0,0,0,0,0,80,0
820140419,335,16,0,0,0,0,0,1,0,352,0
820140420,270,5,0,0,0,0,0,0,1,276,0
820140501,15,1,1,0,0,0,0,0,0,17,0
820140502,44,5,1,0,0,0,0,0,1,51,0
820140503,380,20,1,0,1,2,0,1,0,403,0
820140504,342,15,0,6,0,0,0,0,1,364,0
820140505,78,8,0,0,0,0,0,0,2,88,0
820140506,356,10,0,0,0,0,0,0,1,367,0
820140507,296,8,0,0,0,0,0,0,2,306,0
820140508,316,3,0,22,1,0,0,0,0,342,0
820140509,220,11,0,0,0,0,0,0,0,231,0
820140510,351,6,0,0,0,7,0,0,1,358,0
820140511,310,17,0,0,0,0,0,0,1,328,0
820140512,16,1,0,0,0,0,0,0,0,17,0
820140513,197,33,0,0,1,2,0,0,0,231,0
820140514,299,27,0,0,0,0,0,0,0,326,0
820140515,20,4,0,0,0,0,0,0,0,24,0
820140516,19,4,0,0,0,0,0,0,0,23,0
820140517,336,50,0,0,0,0,0,0,3,389,0
820140518,197,13,0,0,0,0,0,0,0,210,0
820140519,261,10,0,0,0,3,0,1,1,273,0
820140520,10,0,0,0,0,0,0,0,0,10,0
820140521,5,0,0,0,0,0,0,0,0,5,0
820140522,7,2,0,0,0,0,0,0,0,9,0
820140523,230,36,1,0,0,0,0,0,0,269,2
820140524,156,15,1,0,0,0,0,0,2,174,0
820140601,388,310,24,3,0,0,0,0,40,765,0
820140602,413,36,0,1,0,2,0,0,1,451,0
820140603,212,2,0,4,1,0,5,0,0,224,0
820140604,338,12,2,4,0,1,0,0,0,356,0
820140605,354,94,2,2,0,1,0,0,6,459,1
820140606,226,21,3,3,0,0,0,0,9,262,0
820140607,403,13,0,11,0,0,0,3,1,431,0
820140608,315,28,1,10,0,0,0,0,3,357,0
820140609,288,94,6,0,0,0,0,3,12,403,0
820140610,14,2,0,0,0,0,0,0,0,16,0
820140611,26,1,0,0,0,0,0,0,0,27,0
820149001,23,0,0,0,0,0,0,0,0,23,0
820210101,44,11,0,0,0,0,0,0,0,55,0
820210102,15,6,0,0,0,0,0,0,0,21,0
820210103,328,89,0,1,0,1,0,0,8,426,0
820210104,273,56,0,2,1,2,0,0,0,332,0
820210105,215,20,0,1,0,0,0,1,1,238,0
820210106,310,17,0,2,0,0,2,0,1,332,0
820210107,269,17,0,3,0,0,0,4,0,293,0
820210108,73,34,0,0,0,1,0,0,0,107,0
820210109,35,1,0,0,0,0,0,0,0,36,0
820210110,320,62,0,0,1,0,0,3,2,388,0
820210111,73,13,0,0,0,0,0,0,2,88,0
820210112,102,43,0,0,0,0,0,0,0,145,0
820210113,61,3,0,0,0,0,0,0,0,64,0
820210114,31,21,0,0,0,0,0,1,0,53,0
820210115,188,42,0,0,0,0,0,0,1,231,0
820210116,79,30,0,0,0,0,0,0,0,109,0
820210117,55,27,0,0,0,0,0,0,0,82,0
820210118,212,37,0,0,0,0,0,0,0,249,0
820210119,397,104,0,0,1,0,0,3,1,506,0
820210120,39,33,1,0,5,0,0,0,0,78,0
820210121,28,24,1,0,0,0,0,0,0,53,0
820210122,19,33,0,0,0,0,0,0,0,52,0
820210123,70,18,0,0,0,0,0,0,0,88,0
820210124,318,61,0,10,5,1,0,5,1,400,0
