radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820140419,7,1,0,0,0,0,0,0,8,0
820140420,0,0,0,0,0,0,0,0,0,0
820140501,0,0,0,0,0,0,0,0,0,0
820140502,1,0,1,0,0,0,0,0,2,0
820140503,5,1,0,0,0,0,0,0,6,0
820140504,1,0,0,0,0,0,0,0,1,0
820140505,0,2,0,0,0,0,0,0,2,0
820140506,0,3,0,0,0,0,0,0,3,0
820140507,0,0,0,0,0,0,0,0,0,0
820140508,2,0,0,0,0,0,0,0,2,0
820140509,5,0,0,0,0,0,0,0,5,0
820140510,0,0,0,0,0,0,0,0,0,0
820140511,2,0,0,0,0,0,0,0,2,0
820140512,0,0,0,0,0,0,0,0,0,0
820140513,0,7,0,0,0,0,0,0,7,0
820140514,2,2,0,0,0,0,0,0,4,0
820140515,2,0,0,0,0,0,0,0,2,0
820140516,0,1,0,0,0,0,0,0,1,0
820140517,2,6,0,0,0,0,0,1,9,0
820140518,1,3,0,0,0,0,0,0,4,0
820140519,1,0,0,0,0,0,0,0,1,0
820140520,0,0,0,0,0,0,0,0,0,0
820140521,0,0,0,0,0,0,0,0,0,0
820140522,0,0,0,0,0,0,0,0,0,0
820140523,4,4,0,0,0,0,0,0,8,0
820140524,0,1,0,0,0,0,0,1,2,0
820140601,9,33,2,2,0,0,0,4,50,0
820140602,10,2,0,0,0,0,0,0,12,0
820140603,1,0,0,0,0,3,0,0,4,0
820140604,5,2,0,0,0,0,0,0,7,0
820140605,18,2,0,0,0,0,0,0,20,0
820140606,2,2,0,0,0,0,0,1,5,0
820140607,11,0,0,0,0,0,0,0,11,0
820140608,7,5,0,0,0,0,0,0,12,0
820140609,4,20,2,0,0,0,1,3,30,0
820140610,0,0,0,0,0,0,0,0,0,0
820140611,0,0,0,0,0,0,0,0,0,0
820149001,0,0,0,0,0,0,0,0,0,0
820210101,1,3,0,0,0,0,0,0,4,0
820210102,1,1,0,0,0,0,0,0,2,0
820210103,5,27,0,0,0,0,0,1,33,0
820210104,4,20,0,0,0,0,0,0,24,0
820210105,11,2,0,0,0,0,0,0,13,0
820210106,2,2,0,0,0,0,0,0,4,0
820210107,2,2,0,0,0,0,0,0,4,0
820210108,4,9,0,0,0,0,0,0,13,0
820210109,4,0,0,0,0,0,0,0,4,0
820210110,7,10,0,0,0,0,0,0,17,0
820210111,5,1,0,0,0,0,0,1,7,0
820210112,5,9,0,0,0,0,0,0,14,0
820210113,2,0,0,0,0,0,0,0,2,0
820210114,2,3,0,0,0,0,1,0,6,0
820210115,6,3,0,0,0,0,0,0,9,0
820210116,8,5,0,0,0,0,0,0,13,0
820210117,2,9,0,0,0,0,0,0,11,0
820210118,2,7,0,0,0,0,0,0,9,0
820210119,2,29,0,0,0,0,0,1,32,0
820210120,10,6,0,0,0,0,0,0,16,0
820210121,1,5,0,0,0,0,0,0,6,0
820210122,2,3,0,0,0,0,0,0,5,0
820210123,0,3,0,0,0,0,0,0,3,0
820210124,2,7,0,1,0,0,3,0,13,0
820210125,0,5,6,0,0,0,0,1,12,0
820210126,5,2,0,0,0,0,0,0,7,0
820210127,2,1,0,0,0,0,0,0,3,0
820210128,11,10,0,0,0,0,0,0,21,0
820210129,4,4,0,0,0,0,0,0,8,0
820210130,7,7,0,0,0,0,1,0,15,0
820210131,0,6,0,0,0,0,0,0,6,0
820210132,1,8,0,0,0,0,0,2,11,0
820210133,8,23,0,0,0,0,0,0,31,0
820210134,7,19,5,0,0,0,0,2,33,0
820210201,5,11,0,0,0,0,0,0,16,0
820210202,9,1,0,0,0,0,0,0,10,0
820210203,4,3,0,0,0,0,0,0,7,0
820210204,6,1,0,0,0,0,0,0,7,0
820210205,8,34,2,0,0,0,4,0,48,0
820210206,8,1,0,0,0,0,0,0,9,0
820210207,9,7,0,0,0,0,4,0,20,0
820210208,2,0,0,0,0,0,0,0,2,0
820210209,13,4,0,0,0,0,0,0,17,0
820210210,11,6,0,0,0,0,0,0,17,0
820210211,23,2,0,0,0,0,0,0,25,0
820210212,5,8,0,0,0,0,0,0,13,0
820210213,0,0,0,0,0,0,0,0,0,0
820210214,15,8,0,0,0,0,7,0,30,0
820210215,10,13,0,0,0,0,0,0,23,0
820210216,5,4,0,0,0,0,0,0,9,0
820210217,18,11,0,0,0,0,0,0,29,0
820210218,21,19,0,0,0,0,0,0,40,0
820210301,0,0,0,0,0,0,0,0,0,0
820210302,4,7,0,0,0,0,0,2,13,0
820210303,1,5,0,0,0,0,0,0,6,0
820210304,1,8,0,0,0,0,0,0,9,0
820210305,17,8,0,0,2,0,0,0,27,0
820210306,2,4,0,0,0,0,0,0,6,0
820210307,0,6,0,0,0,0,0,0,6,0
820210308,2,6,0,0,0,0,0,0,8,0
820210309,0,1,0,0,0,0,0,0,1,0
820210310,5,11,0,0,0,0,0,0,16,0
820210311,5,0,0,0,0,0,0,0,5,0
820210312,0,5,0,0,0,0,0,0,5,0
820210313,2,8,0,0,0,0,0,0,10,0
820210314,3,2,0,0,0,0,0,0,5,0
820210315,0,0,0,0,0,0,0,0,0,0
