radio_cens,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820140511,6,0,0,0,0,0,0,6,0
820140512,0,0,0,0,0,0,0,0,0
820140513,4,0,0,1,0,0,0,5,0
820140514,5,0,0,0,0,0,0,5,0
820140515,1,0,0,0,0,0,0,1,0
820140516,0,0,0,0,0,0,0,0,0
820140517,1,0,0,0,0,0,0,1,0
820140518,0,0,0,0,0,0,0,0,0
820140519,0,0,0,0,0,1,0,1,0
820140520,0,0,0,0,0,0,0,0,0
820140521,0,0,0,0,0,0,0,0,0
820140522,1,0,0,0,0,0,0,1,0
820140523,10,0,0,0,0,0,0,11,1
820140524,1,0,0,0,0,0,0,1,0
820140601,28,6,0,0,0,0,15,49,0
820140602,3,0,0,0,0,0,0,3,0
820140603,0,0,0,0,0,0,0,0,0
820140604,0,0,0,0,0,0,0,0,0
820140605,8,0,0,0,0,0,0,8,0
820140606,2,0,0,0,0,0,0,2,0
820140607,3,0,0,0,0,0,0,3,0
820140608,4,0,1,0,0,0,0,5,0
820140609,11,0,0,0,0,0,2,13,0
820140610,0,0,0,0,0,0,0,0,0
820140611,0,0,0,0,0,0,0,0,0
820149001,0,0,0,0,0,0,0,0,0
820210101,0,0,0,0,0,0,0,0,0
820210102,0,0,0,0,0,0,0,0,0
820210103,7,0,0,0,0,0,4,11,0
820210104,3,0,0,0,0,0,0,3,0
820210105,0,0,0,0,0,0,0,0,0
820210106,2,0,0,0,0,0,0,2,0
820210107,1,0,0,0,0,0,0,1,0
820210108,0,0,0,0,0,0,0,0,0
820210109,0,0,0,0,0,0,0,0,0
820210110,2,0,0,0,0,0,0,2,0
820210111,0,0,0,0,0,0,0,0,0
820210112,4,0,0,0,0,0,0,4,0
820210113,0,0,0,0,0,0,0,0,0
820210114,0,0,0,0,0,0,0,0,0
820210115,1,0,0,0,0,0,0,1,0
820210116,0,0,0,0,0,0,0,0,0
820210117,2,0,0,0,0,0,0,2,0
820210118,3,0,0,0,0,0,0,3,0
820210119,4,0,0,0,0,0,0,4,0
820210120,2,1,0,2,0,0,0,5,0
820210121,0,0,0,0,0,0,0,0,0
820210122,0,0,0,0,0,0,0,0,0
820210123,0,0,0,0,0,0,0,0,0
820210124,6,0,0,1,0,0,0,7,0
820210125,1,0,0,0,0,0,0,1,0
820210126,2,0,0,0,0,0,0,2,0
820210127,1,0,0,0,0,0,0,1,0
820210128,0,0,0,0,0,0,0,0,0
820210129,0,0,0,0,0,0,0,0,0
820210130,0,0,0,0,0,0,0,0,0
820210131,2,0,0,1,0,0,0,4,1
820210132,1,0,0,0,0,0,0,1,0
820210133,5,1,0,0,0,0,0,6,0
820210134,3,0,0,1,0,0,0,4,0
820210201,3,0,0,0,0,0,0,3,0
820210202,0,0,0,0,0,0,0,0,0
820210203,0,0,0,0,0,0,0,0,0
820210204,1,0,0,0,0,0,0,1,0
820210205,4,0,0,0,0,0,0,4,0
820210206,1,0,0,0,0,0,0,1,0
820210207,1,0,0,0,0,0,0,1,0
820210208,0,0,0,0,0,0,0,0,0
820210209,2,0,0,0,0,0,0,2,0
820210210,2,0,0,0,0,0,0,2,0
820210211,1,0,0,0,0,0,0,1,0
820210212,8,0,0,0,0,0,0,8,0
820210213,0,0,0,0,0,0,0,0,0
820210214,21,0,0,0,0,0,0,21,0
820210215,3,0,0,0,0,0,0,3,0
820210216,1,0,0,0,0,0,0,1,0
820210217,4,0,0,0,0,0,0,4,0
820210218,5,0,0,0,0,0,0,5,0
820210301,2,0,0,0,0,0,0,2,0
820210302,13,0,0,0,0,0,0,13,0
820210303,0,0,0,0,0,0,0,0,0
820210304,2,0,0,0,0,0,0,2,0
820210305,10,0,0,0,0,0,0,10,0
820210306,4,0,0,0,0,0,0,4,0
820210307,0,0,0,0,0,0,0,0,0
820210308,2,0,0,0,0,0,0,2,0
820210309,0,0,0,0,0,0,0,0,0
820210310,2,0,0,0,0,0,0,2,0
820210311,22,0,0,0,0,0,0,22,0
820210312,2,0,0,0,0,0,0,2,0
820210313,0,0,0,0,0,0,0,0,0
820210314,1,0,0,0,0,0,0,1,0
820210315,1,0,0,0,0,0,0,1,0
820210316,0,0,0,0,0,0,0,0,0
820210317,3,0,0,0,0,0,0,3,0
820210318,8,0,0,0,0,0,1,9,0
820210319,4,0,0,0,0,0,0,4,0
820210320,0,0,0,0,0,0,0,0,0
820210321,3,0,0,0,0,0,0,3,0
820210322,1,0,0,0,0,0,1,2,0
820210323,2,0,0,0,0,0,0,2,0
820210324,1,0,0,0,0,0,0,1,0
820210325,0,0,0,0,0,0,0,0,0
820210326,0,0,0,0,0,0,0,0,0
820210327,1,1,0,0,0,1,0,3,0
820210328,0,0,0,0,0,0,0,0,0
820210329,2,0,0,0,0,0,0,2,0
820210330,3,0,0,0,0,0,0,3,0
820210331,2,0,0,0,0,0,0,2,0
820210332,0,0,0,0,0,0,0,0,0
820210333,1,0,0,0,0,0,0,1,0
820210401,7,0,0,0,0,0,0,7,0
820210402,4,0,0,0,0,0,0,4,0
820210403,0,0,0,0,0,0,0,0,0
820210404,1,0,0,0,0,0,0,1,0
820210405,1,0,0,0,0,0,0,1,0
820210406,2,0,0,0,0,0,0,2,0
820210407,0,0,0,0,0,0,0,0,0
820210408,0,0,1,0,0,0,0,1,0
820210409,0,0,0,0,0,0,0,0,0
820210410,0,0,0,0,0,0,0,0,0
820210411,0,0,0,0,0,0,0,0,0
820210412,0,0,0,0,0,0,0,0,0
820210413,2,0,0,0,0,0,0,2,0
820210414,0,0,0,0,0,0,0,0,0
820210415,0,0,0,0,0,0,0,0,0
820210416,10,0,0,0,0,0,0,10,0
820210417,5,1,0,0,0,0,0,6,0
820210418,11,0,0,0,0,0,0,11,0
820210419,9,0,0,0,0,0,0,9,0
820210420,3,0,0,0,0,0,0,3,0
820210421,2,0,0,0,0,0,0,2,0
820210422,34,0,0,0,0,0,2,36,0
820210501,11,0,0,0,0,0,1,12,0
820210502,6,0,1,0,0,1,2,10,0
820210503,2,0,0,0,0,0,0,2,0
820210504,6,0,0,0,0,0,0,6,0
820210505,14,0,3,0,0,0,0,17,0
820210506,2,0,0,0,0,0,0,2,0
820210507,1,0,0,0,0,0,0,1,0
820210508,1,0,0,0,0,0,0,1,0
820210509,0,0,0,0,0,0,0,0,0
820210510,0,0,0,0,0,0,0,0,0
820210511,0,0,0,0,0,0,0,0,0
820210512,5,0,0,0,0,0,0,5,0
820210513,43,0,0,0,0,5,0,48,0
820210514,9,1,1,0,0,0,1,12,0
820210601,3,0,0,0,0,0,0,3,0
820210602,0,0,0,0,0,0,0,0,0
820210603,0,0,0,0,0,0,0,0,0
820210604,1,0,0,0,0,0,0,1,0
820210605,0,0,0,0,0,0,0,0,0
820210606,0,0,0,0,0,0,0,0,0
820210607,0,0,0,0,0,0,0,0,0
820210608,1,0,0,0,0,0,0,1,0
820210609,1,0,0,0,0,0,0,1,0
820210610,5,1,0,0,0,0,0,6,0
820210611,2,0,0,0,0,0,0,2,0
820210612,5,0,0,0,0,2,0,7,0
820210613,2,0,0,0,0,0,0,2,0
820210614,0,0,0,0,0,0,0,0,0
820210615,0,0,0,0,0,0,0,0,0
820210616,4,0,0,0,0,0,0,4,0
820210617,1,0,0,0,0,0,0,1,0
820210618,1,0,0,0,0,0,0,1,0
820210619,4,0,0,0,0,0,0,4,0
820210620,0,0,0,0,0,0,0,0,0
820210701,2,0,0,0,0,0,0,2,0
820210702,17,0,0,0,0,0,1,18,0
820210703,0,0,0,0,0,0,0,0,0
820210704,0,0,0,0,0,0,0,0,0
820210705,0,0,0,0,0,0,0,0,0
820210706,8,0,0,0,0,0,0,8,0
820210707,7,0,0,0,0,0,0,7,0
820210708,2,0,0,0,0,0,0,2,0
820210709,1,0,0,0,0,0,0,1,0
820210710,1,0,0,0,0,0,0,1,0
820210711,0,0,0,0,0,0,0,0,0
820210712,2,0,0,0,0,0,0,2,0
820210713,0,0,0,1,0,0,0,1,0
820210714,1,0,0,0,0,0,0,1,0
820210715,1,0,0,0,0,0,0,2,1
820210716,4,0,0,0,0,0,0,4,0
820210717,7,0,0,0,0,0,0,7,0
820210718,8,1,1,0,0,0,0,10,0
820210719,3,0,0,0,0,0,0,3,0
820210720,8,0,0,0,0,0,0,8,0
820210721,3,0,0,0,0,0,0,3,0
820210722,7,0,0,0,0,0,2,9,0
820210723,0,0,0,0,0,0,0,0,0
820210724,3,0,0,0,0,0,0,3,0
820210725,6,0,0,0,0,0,0,6,0
820210726,1,0,0,0,0,0,3,4,0
820210801,0,0,0,0,0,0,0,0,0
820210802,0,0,0,0,0,0,0,0,0
820210803,0,0,0,0,0,0,0,0,0
820210804,0,0,0,0,0,0,0,0,0
820210805,0,1,0,0,0,0,0,1,0
820210806,1,0,0,0,0,0,0,1,0
820210807,6,0,0,0,0,0,0,6,0
820210808,17,0,0,0,0,0,0,17,0
820210809,1,0,0,0,0,0,0,1,0
820210810,3,0,0,0,0,0,2,5,0
820210811,2,0,0,0,0,0,0,2,0
820210812,0,0,0,0,0,0,0,0,0
820210813,9,1,0,0,0,0,1,11,0
820210814,3,0,0,1,0,0,0,4,0
820210815,14,0,0,0,0,0,1,15,0
820210901,0,0,0,0,0,0,0,0,0
820210902,5,1,0,1,0,0,0,7,0
820210903,2,2,0,0,0,0,0,4,0
820210904,1,0,0,0,0,0,0,1,0
820210905,1,0,2,0,0,0,0,3,0
820210906,0,0,0,0,0,0,0,0,0
820210907,0,0,0,0,0,0,0,0,0
820210908,0,0,0,0,0,0,0,0,0
820210909,0,0,0,0,0,0,0,0,0
820210910,0,0,0,0,0,0,0,0,0
820210911,5,0,0,0,0,5,0,10,0
820210912,2,0,0,0,0,0,0,2,0
820210913,2,0,0,0,0,0,0,2,0
820210914,0,0,1,0,0,0,0,1,0
820211001,0,0,0,0,0,0,0,0,0
820211002,0,0,0,0,0,0,0,0,0
820211003,0,0,0,0,0,0,0,0,0
820211004,1,0,0,0,0,0,0,1,0
820211005,1,0,0,0,0,0,0,1,0
820211006,2,0,0,0,0,0,0,2,0
820211007,0,0,1,0,0,0,0,1,0
820211008,2,0,0,0,0,0,0,2,0
820211009,2,0,0,0,0,0,0,2,0
820211010,0,0,0,0,0,0,0,0,0
820211011,1,0,0,0,0,0,0,1,0
820211012,0,0,0,0,0,0,0,0,0
820211013,1,0,0,0,0,0,1,2,0
820211014,0,0,0,0,0,0,0,0,0
820211015,0,0,0,0,0,0,0,0,0
820211016,0,0,0,0,0,0,0,0,0
820211017,3,0,0,0,0,0,0,3,0
820211018,1,0,0,0,0,0,0,1,0
820280101,12,0,0,0,0,0,0,12,0
820280102,0,0,0,0,0,0,0,0,0
820280103,0,0,0,0,0,0,0,0,0
820280104,6,0,0,0,0,0,0,6,0
820280105,9,4,0,0,0,0,3,16,0
820280106,0,0,0,0,0,0,0,0,0
820280107,1,0,0,0,0,0,0,1,0
820280108,6,0,0,0,0,0,0,6,0
820280109,1,0,0,0,0,0,0,2,1
820280110,0,0,0,0,0,0,0,0,0
820280111,0,0,0,0,0,0,1,1,0
820280112,1,0,0,0,0,0,0,1,0
820280113,1,0,0,0,0,0,0,1,0
820280114,4,0,0,0,0,0,0,4,0
820280115,0,0,0,0,0,0,0,0,0
820280116,1,1,0,0,0,0,1,4,1
820280117,3,0,0,0,0,0,1,4,0
820280118,1,0,0,0,0,0,0,1,0
820280119,0,0,0,0,0,0,0,0,0
820280120,0,0,0,0,0,0,0,0,0
820280121,0,0,0,0,0,0,0,0,0
820280122,2,0,0,0,0,0,0,2,0
820280123,0,1,0,0,0,0,0,1,0
820280124,0,0,0,0,0,0,0,0,0
820280201,0,1,1,0,0,1,1,4,0
820280202,4,0,0,0,0,0,0,4,0
820280203,2,0,0,2,0,0,0,4,0
820280204,1,0,0,0,0,0,0,1,0
820280205,4,0,0,0,0,0,2,6,0
820280206,0,0,0,0,0,0,0,0,0
820280207,0,0,0,0,0,0,2,2,0
820280208,0,0,0,0,0,0,0,0,0
820280209,1,0,0,0,0,0,0,1,0
820280210,1,0,0,0,0,0,0,1,0
820280211,2,0,0,0,0,0,0,2,0
820280212,4,0,0,0,0,0,0,4,0
820280213,0,0,0,0,0,0,0,0,0
820280214,0,0,0,0,0,0,0,0,0
820280215,0,0,0,0,0,0,0,0,0
820280216,2,0,0,0,0,0,0,2,0
820280217,0,0,0,0,0,0,1,1,0
820280218,0,0,0,0,0,0,0,0,0
820280219,0,0,0,0,0,0,0,0,0
820280220,0,0,0,0,0,0,0,0,0
820280221,0,0,0,0,0,0,0,0,0
820280301,37,9,0,1,0,0,5,52,0
820280302,3,0,0,0,0,0,0,3,0
820280303,2,0,0,0,0,0,0,2,0
820280304,0,0,0,0,0,0,0,0,0
820280305,0,0,0,0,0,0,0,0,0
820280306,2,0,0,0,0,0,1,3,0
820280307,0,0,0,0,0,0,0,0,0
820280308,0,0,0,0,0,0,0,0,0
820280309,8,0,0,0,0,0,0,8,0
820280310,1,1,0,0,0,0,1,3,0
820280311,8,0,0,0,0,0,0,8,0
820280312,3,0,0,0,0,0,0,3,0
820280313,1,0,0,0,0,0,0,1,0
820280314,1,0,0,0,0,0,0,1,0
820280315,0,0,0,0,0,0,0,0,0
820280316,0,0,0,0,0,0,0,0,0
820280317,2,0,0,0,0,0,1,3,0
820280318,3,0,0,0,0,0,0,3,0
820280319,0,0,0,0,0,0,0,0,0
820280320,3,2,0,0,0,0,0,5,0
820280321,3,0,0,0,0,0,0,3,0
820280322,10,2,0,0,0,0,10,22,0
820280323,0,0,0,0,0,0,0,0,0
820280324,5,0,0,0,0,0,0,5,0
820280325,0,0,0,0,0,0,0,0,0
820280326,10,2,0,0,0,0,0,12,0
820280327,4,0,0,0,0,0,0,4,0
820280401,10,3,0,0,0,0,0,13,0
820280402,7,0,0,0,0,0,0,7,0
820280403,12,0,0,0,0,0,1,13,0
820280404,3,0,0,0,0,0,0,3,0
820280405,6,1,0,0,0,1,0,8,0
820280406,0,0,0,0,0,0,0,0,0
820280407,0,0,0,0,0,0,0,0,0
820280408,18,0,0,0,0,0,0,18,0
820280409,1,0,0,0,0,0,0,1,0
820280410,0,0,0,0,0,0,0,0,0
820280411,4,0,0,0,0,0,0,4,0
820280412,1,0,0,0,0,0,0,1,0
820280413,14,0,0,0,0,0,0,14,0
820280414,3,0,0,0,0,0,0,3,0
820280415,1,0,0,0,0,0,0,1,0
820280501,14,0,0,0,0,3,6,23,0
820280502,0,0,0,0,0,0,0,0,0
820280503,0,0,0,0,0,0,0,0,0
820280504,0,0,0,0,0,0,0,0,0
820280505,4,0,0,0,0,0,0,4,0
820280506,1,0,0,0,0,0,0,1,0
820280507,0,0,0,0,0,0,0,0,0
820280508,3,0,0,0,0,0,0,3,0
820280509,0,1,0,0,0,0,0,1,0
820280510,2,0,0,0,0,0,0,2,0
820280511,2,0,0,0,0,0,0,2,0
820280512,9,0,0,0,0,0,0,9,0
820280513,0,0,0,0,0,0,0,0,0
820280514,7,0,0,0,0,0,0,7,0
820280515,8,0,0,0,0,0,0,8,0
820280516,1,0,0,0,0,0,0,1,0
820280517,4,1,0,0,0,0,0,5,0
820289201,0,0,0,0,0,0,0,0,0
820350101,5,13,0,0,0,0,1,20,1
820350102,7,0,0,0,0,0,5,12,0
820350103,1,0,0,0,0,0,6,9,2
820350104,0,0,0,0,0,0,0,0,0
820350105,0,0,0,0,0,0,2,2,0
820350106,13,0,0,0,0,0,14,27,0
820350107,0,0,0,0,0,0,0,0,0
820350108,13,1,0,0,0,0,5,19,0
820350109,0,0,0,0,0,0,1,1,0
820350110,10,0,0,1,0,0,6,17,0
820350111,2,0,0,0,0,0,2,4,0
820350112,11,0,0,0,0,0,6,17,0
820350113,5,0,2,0,0,0,1,8,0
820350114,1,0,0,0,0,0,1,2,0
820350115,2,0,0,0,0,0,3,5,0
820350116,2,0,0,0,0,0,0,2,0
820350117,12,0,0,0,0,0,0,12,0
820350201,0,0,0,0,0,0,0,0,0
820350202,23,1,0,0,0,0,4,28,0
820350203,2,0,0,0,0,0,0,2,0
820350204,1,0,0,0,0,0,3,4,0
820350205,0,0,0,0,0,0,0,0,0
820350206,4,0,0,0,0,0,1,5,0
820350207,16,0,0,0,0,0,4,20,0
820350208,3,0,0,0,0,0,2,5,0
820350209,16,1,0,0,0,0,5,22,0
820350210,2,0,0,0,0,0,3,5,0
820350211,9,0,0,0,0,0,2,11,0
820350212,4,0,0,0,0,0,1,5,0
820350213,9,0,0,0,0,0,2,11,0
820420101,0,0,0,0,0,0,0,0,0
820420102,9,0,0,0,0,0,1,10,0
820420103,2,0,0,0,0,0,0,2,0
820420104,1,0,0,0,0,0,0,1,0
820420105,0,2,0,0,0,0,0,2,0
820420106,1,0,0,0,0,0,0,1,0
820420107,28,0,0,0,0,0,1,29,0
820420108,0,0,0,0,0,1,0,1,0
